18:25:16.001996 IP 192.168.20.1.64725 > 239.255.255.250.1900: UDP, length 275
18:25:21.003348 IP 192.168.20.1.64725 > 239.255.255.250.1900: UDP, length 275
18:25:26.000673 IP 192.168.20.1.64725 > 239.255.255.250.1900: UDP, length 275
18:25:31.003634 IP 192.168.20.1.64725 > 239.255.255.250.1900: UDP, length 275
18:25:35.926906 ARP, Request who-has 192.168.20.135 (Broadcast) tell 192.168.20.136, length 46
18:25:35.927361 ARP, Reply 192.168.20.135 is-at 00:0c:29:6f:d4:68 (oui Unknown), length 46
18:25:36.000568 IP 192.168.20.1.64725 > 239.255.255.250.1900: UDP, length 275
18:25:36.128525 IP 192.168.20.136.38878 > 192.168.20.2.domain: 32008+ PTR? 135.20.168.192.in-addr.arpa. (45)
18:25:36.142079 IP 192.168.20.2.domain > 192.168.20.136.38878: 32008 NXDomain 0/0/0 (45)
18:25:36.143989 IP 192.168.20.136.57385 > 192.168.20.135.ssh: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:29:18.614591 IP 192.168.20.136.50397 > 192.168.20.135.83: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.614745 IP 192.168.20.136.50397 > 192.168.20.135.56737: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.614843 IP 192.168.20.136.50397 > 192.168.20.135.19801: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.614936 IP 192.168.20.136.50397 > 192.168.20.135.1165: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.615279 IP 192.168.20.136.50397 > 192.168.20.135.687: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.615482 IP 192.168.20.136.50397 > 192.168.20.135.1037: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.615580 IP 192.168.20.136.50397 > 192.168.20.135.32768: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.615643 IP 192.168.20.136.50397 > 192.168.20.135.7106: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.615737 IP 192.168.20.136.50397 > 192.168.20.135.13456: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.615826 IP 192.168.20.136.50397 > 192.168.20.135.radmin-port: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.615924 IP 192.168.20.136.50397 > 192.168.20.135.ipp: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.616014 IP 192.168.20.136.50397 > 192.168.20.135.5001: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.616137 IP 192.168.20.136.50397 > 192.168.20.135.8652: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.616233 IP 192.168.20.136.50397 > 192.168.20.135.3390: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.616358 IP 192.168.20.136.50397 > 192.168.20.135.7443: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.616489 IP 192.168.20.136.50397 > 192.168.20.135.2701: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.616827 IP 192.168.20.136.50397 > 192.168.20.135.6689: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.616965 IP 192.168.20.136.50397 > 192.168.20.135.eklogin: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.617085 IP 192.168.20.136.50397 > 192.168.20.135.8254: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.617177 IP 192.168.20.136.50397 > 192.168.20.135.kpasswd: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.617279 IP 192.168.20.136.50397 > 192.168.20.135.5902: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.617374 IP 192.168.20.136.50397 > 192.168.20.135.9002: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.617465 IP 192.168.20.136.50397 > 192.168.20.135.1594: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.617591 IP 192.168.20.136.50397 > 192.168.20.135.1028: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.617719 IP 192.168.20.136.50397 > 192.168.20.135.2809: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.617984 IP 192.168.20.136.50397 > 192.168.20.135.2007: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.618090 IP 192.168.20.136.50397 > 192.168.20.135.3269: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.618181 IP 192.168.20.136.50397 > 192.168.20.135.9943: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.618273 IP 192.168.20.136.50397 > 192.168.20.135.50636: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.618327 IP 192.168.20.136.50397 > 192.168.20.135.ms-sql-s: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.618380 IP 192.168.20.136.50397 > 192.168.20.135.1247: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.618432 IP 192.168.20.136.50397 > 192.168.20.135.5440: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.618497 IP 192.168.20.136.50397 > 192.168.20.135.32775: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.618551 IP 192.168.20.136.50397 > 192.168.20.135.rmtcfg: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.618612 IP 192.168.20.136.50397 > 192.168.20.135.5987: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.618667 IP 192.168.20.136.50397 > 192.168.20.135.6009: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.618720 IP 192.168.20.136.50397 > 192.168.20.135.xmpp-server: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.618811 IP 192.168.20.136.50397 > 192.168.20.135.1024: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.618866 IP 192.168.20.136.50397 > 192.168.20.135.5004: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.618918 IP 192.168.20.136.50397 > 192.168.20.135.714: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.618970 IP 192.168.20.136.50397 > 192.168.20.135.9207: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.619028 IP 192.168.20.136.50397 > 192.168.20.135.imsp: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.619112 IP 192.168.20.136.50397 > 192.168.20.135.3052: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.619171 IP 192.168.20.136.50397 > 192.168.20.135.3071: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.619225 IP 192.168.20.136.50397 > 192.168.20.135.afs3-kaserver: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.619278 IP 192.168.20.136.50397 > 192.168.20.135.1121: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.619330 IP 192.168.20.136.50397 > 192.168.20.135.8701: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.619383 IP 192.168.20.136.50397 > 192.168.20.135.44501: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.619458 IP 192.168.20.136.50397 > 192.168.20.135.1100: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.619505 IP 192.168.20.136.50397 > 192.168.20.135.1087: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.619601 IP 192.168.20.135.83 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.619689 IP 192.168.20.135.56737 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.619742 IP 192.168.20.135.19801 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.619824 IP 192.168.20.135.1165 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.619904 IP 192.168.20.135.687 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.619985 IP 192.168.20.135.1037 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.620033 IP 192.168.20.135.32768 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.620137 IP 192.168.20.135.7106 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.620220 IP 192.168.20.135.13456 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.620302 IP 192.168.20.135.radmin-port > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.620350 IP 192.168.20.135.ipp > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.620546 IP 192.168.20.135.5001 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.620636 IP 192.168.20.135.8652 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.620723 IP 192.168.20.135.3390 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.620806 IP 192.168.20.135.7443 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.620860 IP 192.168.20.135.2701 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.620948 IP 192.168.20.135.6689 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.621031 IP 192.168.20.135.eklogin > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.621124 IP 192.168.20.135.8254 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.621210 IP 192.168.20.135.kpasswd > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.621259 IP 192.168.20.135.5902 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.621339 IP 192.168.20.135.9002 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.621423 IP 192.168.20.135.1594 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.621508 IP 192.168.20.135.1028 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.621561 IP 192.168.20.135.2809 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.621640 IP 192.168.20.135.2007 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.621724 IP 192.168.20.135.3269 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.621809 IP 192.168.20.135.9943 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.621862 IP 192.168.20.135.50636 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.621942 IP 192.168.20.135.ms-sql-s > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.622026 IP 192.168.20.135.1247 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.622146 IP 192.168.20.135.5440 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.622235 IP 192.168.20.135.32775 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.622286 IP 192.168.20.135.rmtcfg > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.622332 IP 192.168.20.135.5987 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.622416 IP 192.168.20.135.6009 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.622468 IP 192.168.20.135.xmpp-server > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.622513 IP 192.168.20.135.1024 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.622593 IP 192.168.20.135.5004 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.622639 IP 192.168.20.135.714 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.622682 IP 192.168.20.135.9207 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.622718 IP 192.168.20.135.imsp > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.622753 IP 192.168.20.135.3052 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.622788 IP 192.168.20.135.3071 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.622823 IP 192.168.20.135.afs3-kaserver > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.622858 IP 192.168.20.135.1121 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.622893 IP 192.168.20.135.8701 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.622928 IP 192.168.20.135.44501 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.622966 IP 192.168.20.135.1100 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.623001 IP 192.168.20.135.1087 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.623111 IP 192.168.20.136.50397 > 192.168.20.135.proofd: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.623167 IP 192.168.20.136.50397 > 192.168.20.135.880: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.623249 IP 192.168.20.136.50397 > 192.168.20.135.1658: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.623314 IP 192.168.20.136.50397 > 192.168.20.135.printer: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.623375 IP 192.168.20.136.50397 > 192.168.20.135.55056: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.623411 IP 192.168.20.136.50397 > 192.168.20.135.6543: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.623472 IP 192.168.20.136.50397 > 192.168.20.135.msnp: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.623507 IP 192.168.20.136.50397 > 192.168.20.135.668: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.623569 IP 192.168.20.136.50397 > 192.168.20.135.2967: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.623605 IP 192.168.20.136.50397 > 192.168.20.135.5862: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.623692 IP 192.168.20.136.50397 > 192.168.20.135.2126: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.623728 IP 192.168.20.136.50397 > 192.168.20.135.24: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.623788 IP 192.168.20.136.50397 > 192.168.20.135.1192: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.623823 IP 192.168.20.136.50397 > 192.168.20.135.1032: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.623887 IP 192.168.20.136.50397 > 192.168.20.135.10628: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.623948 IP 192.168.20.136.50397 > 192.168.20.135.8087: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.624017 IP 192.168.20.136.50397 > 192.168.20.135.48080: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.624054 IP 192.168.20.136.50397 > 192.168.20.135.49152: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.624130 IP 192.168.20.136.50397 > 192.168.20.135.6580: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.624178 IP 192.168.20.136.50397 > 192.168.20.135.2001: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.624303 IP 192.168.20.136.50397 > 192.168.20.135.21571: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.624391 IP 192.168.20.136.50397 > 192.168.20.135.2869: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.624473 IP 192.168.20.136.50397 > 192.168.20.135.3370: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.624566 IP 192.168.20.136.50397 > 192.168.20.135.1026: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.624631 IP 192.168.20.136.50397 > 192.168.20.135.18988: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.624818 IP 192.168.20.136.50397 > 192.168.20.135.44443: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.624887 IP 192.168.20.136.50397 > 192.168.20.135.bgp: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.624924 IP 192.168.20.136.50397 > 192.168.20.135.4125: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.624990 IP 192.168.20.136.50397 > 192.168.20.135.49176: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.625051 IP 192.168.20.136.50397 > 192.168.20.135.1068: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.625094 IP 192.168.20.136.50397 > 192.168.20.135.font-service: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.625140 IP 192.168.20.136.50397 > 192.168.20.135.9999: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.625256 IP 192.168.20.136.50397 > 192.168.20.135.1216: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.625295 IP 192.168.20.136.50397 > 192.168.20.135.customs: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.625360 IP 192.168.20.136.50397 > 192.168.20.135.1583: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.625446 IP 192.168.20.136.50397 > 192.168.20.135.7103: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.625508 IP 192.168.20.136.50397 > 192.168.20.135.3300: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.625573 IP 192.168.20.136.50397 > 192.168.20.135.51103: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.625609 IP 192.168.20.136.50397 > 192.168.20.135.9040: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.625695 IP 192.168.20.136.50397 > 192.168.20.135.6839: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.625731 IP 192.168.20.136.50397 > 192.168.20.135.306: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.625767 IP 192.168.20.136.50397 > 192.168.20.135.1074: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.625802 IP 192.168.20.136.50397 > 192.168.20.135.1328: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.625837 IP 192.168.20.136.50397 > 192.168.20.135.7200: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.625872 IP 192.168.20.136.50397 > 192.168.20.135.57294: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.625907 IP 192.168.20.136.50397 > 192.168.20.135.666: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.625942 IP 192.168.20.136.50397 > 192.168.20.135.2399: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.626003 IP 192.168.20.136.50397 > 192.168.20.135.4443: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.626045 IP 192.168.20.136.50397 > 192.168.20.135.3301: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.626110 IP 192.168.20.136.50397 > 192.168.20.135.55555: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.626236 IP 192.168.20.135.proofd > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.626283 IP 192.168.20.135.880 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.626332 IP 192.168.20.135.1658 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.626421 IP 192.168.20.135.printer > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.626472 IP 192.168.20.135.55056 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.626521 IP 192.168.20.135.6543 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.626568 IP 192.168.20.135.msnp > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.626659 IP 192.168.20.135.668 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.626711 IP 192.168.20.135.2967 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.626759 IP 192.168.20.135.5862 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.626808 IP 192.168.20.135.2126 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.626903 IP 192.168.20.135.24 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.626955 IP 192.168.20.135.1192 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.627029 IP 192.168.20.135.1032 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.627108 IP 192.168.20.135.10628 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.627161 IP 192.168.20.135.8087 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.627264 IP 192.168.20.135.48080 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.627315 IP 192.168.20.135.49152 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.627366 IP 192.168.20.135.6580 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.627414 IP 192.168.20.135.2001 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.627464 IP 192.168.20.135.21571 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.627514 IP 192.168.20.135.2869 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.627560 IP 192.168.20.135.3370 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.627657 IP 192.168.20.135.1026 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.627706 IP 192.168.20.135.18988 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.627754 IP 192.168.20.135.44443 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.627800 IP 192.168.20.135.bgp > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.627848 IP 192.168.20.135.4125 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.627897 IP 192.168.20.135.49176 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.627944 IP 192.168.20.135.1068 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.628040 IP 192.168.20.135.font-service > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.628094 IP 192.168.20.135.9999 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.628148 IP 192.168.20.135.1216 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.628196 IP 192.168.20.135.customs > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.628244 IP 192.168.20.135.1583 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.628291 IP 192.168.20.135.7103 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.628339 IP 192.168.20.135.3300 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.628384 IP 192.168.20.135.51103 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.628433 IP 192.168.20.135.9040 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.628480 IP 192.168.20.135.6839 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.628530 IP 192.168.20.135.306 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.628578 IP 192.168.20.135.1074 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.628629 IP 192.168.20.135.1328 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.628679 IP 192.168.20.135.7200 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.628726 IP 192.168.20.135.57294 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.628777 IP 192.168.20.135.666 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.628826 IP 192.168.20.135.2399 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.628873 IP 192.168.20.135.4443 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.629675 IP 192.168.20.135.3301 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.629771 IP 192.168.20.135.55555 > 192.168.20.136.50397: Flags [R.], seq 0, ack 3343780907, win 0, length 0
18:29:18.629918 IP 192.168.20.136.50397 > 192.168.20.135.2260: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.630011 IP 192.168.20.136.50397 > 192.168.20.135.1461: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.630103 IP 192.168.20.136.50397 > 192.168.20.135.bgpd: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.630191 IP 192.168.20.136.50397 > 192.168.20.135.9500: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
18:29:18.630287 IP 192.168.20.136.50397 > 192.168.20.135.gnutella-svc: Flags [S], seq 3343780906, win 1024, options [mss 1460], length 0
